movie_id,title,rating,parent_guide,runtime,url
tt0019254,The Passion of Joan of Arc,8.1,Passed,114,https://imdb.com/title/tt0019254
tt0113247,La haine,8.1,,98,https://imdb.com/title/tt0113247
tt0381681,Before Sunset,8.1,R,80,https://imdb.com/title/tt0381681
tt0036868,The Best Years of Our Lives,8.1,Approved,170,https://imdb.com/title/tt0036868
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,8.1,PG-13,143,https://imdb.com/title/tt0325980
tt0070047,The Exorcist,8.1,R,122,https://imdb.com/title/tt0070047
tt1979320,Rush,8.1,R,123,https://imdb.com/title/tt1979320
tt15097216,Jai Bhim,8.7,Approved,164,https://imdb.com/title/tt15097216
tt0074958,Network,8.1,R,121,https://imdb.com/title/tt0074958
tt0092005,Stand by Me,8.1,R,89,https://imdb.com/title/tt0092005
tt0032138,The Wizard of Oz,8.1,G,102,https://imdb.com/title/tt0032138
tt0317705,The Incredibles,8.0,PG,115,https://imdb.com/title/tt0317705
tt1028532,Hachi: A Dog's Tale,8.1,G,93,https://imdb.com/title/tt1028532
tt4016934,The Handmaiden,8.1,,145,https://imdb.com/title/tt4016934
tt0758758,Into the Wild,8.1,R,148,https://imdb.com/title/tt0758758
tt0476735,My Father and My Son,8.2,,112,https://imdb.com/title/tt0476735
tt0059742,The Sound of Music,8.1,G,172,https://imdb.com/title/tt0059742
tt0058946,The Battle of Algiers,8.1,,121,https://imdb.com/title/tt0058946
tt0035446,To Be or Not to Be,8.1,Approved,99,https://imdb.com/title/tt0035446
tt0032551,The Grapes of Wrath,8.1,Approved,129,https://imdb.com/title/tt0032551
tt0107048,Groundhog Day,8.0,PG,101,https://imdb.com/title/tt0107048
tt0245712,Amores Perros,8.1,R,154,https://imdb.com/title/tt0245712
tt0129167,The Iron Giant,8.1,PG,86,https://imdb.com/title/tt0129167
tt0032976,Rebecca,8.1,Approved,130,https://imdb.com/title/tt0032976
tt0061512,Cool Hand Luke,8.1,Approved,127,https://imdb.com/title/tt0061512
tt1454029,The Help,8.1,PG-13,146,https://imdb.com/title/tt1454029
tt0025316,It Happened One Night,8.1,Approved,105,https://imdb.com/title/tt0025316
tt0103639,Aladdin,8.0,G,90,https://imdb.com/title/tt0103639
tt0099348,Dances with Wolves,8.0,PG-13,181,https://imdb.com/title/tt0099348
tt4430212,Drishyam,8.2,,163,https://imdb.com/title/tt4430212
tt0087884,"Paris, Texas",8.1,R,145,https://imdb.com/title/tt0087884
